"Année","Canton","Montant versé en frs","Nombre de bénéficiaires","Subvention fédérale en frs"
"1997","Fribourg / Freiburg",9262465,1789,5433658
"1997","Solothurn",8243591,1485,3489978
"1997","Basel-Stadt",10927380,1599,2353886
"1997","Basel-Landschaft",12899603,1946,2467728
"1997","Schaffhausen",1396117,256,478763
"1997","Appenzell Ausserrhoden",1400180,321,688206
"1997","Appenzell Innerrhoden",469175,89,238218
"1997","St. Gallen",14557250,2764,6035387
"1997","Graubünden / Grigioni / Grischun",10806600,2034,5152162
"1997","Aargau",13215084,2513,4182143
"1997","Thurgau",6874194,1073,3036403
"1997","Ticino",16770807,2520,7494936
"1997","Vaud",18598810,4265,6362986
"1997","Valais / Wallis",8943895,2222,5016833
"1997","Neuchâtel",4954227,1640,2673909
"1997","Genève",28192055,3936,4979693
"1997","Jura",7534996,1484,3858338
"1998","Suisse",286226169,49164,115212434
"1998","Zürich",38248448,4298,9893344
"1998","Bern / Berne",43962700,6943,25581869
"1998","Luzern",6565101,1225,4151819
"1998","Uri",1851230,337,1125713
"1998","Schwyz",5698989,1043,2459078
"1998","Obwalden",1159660,268,761928
"1998","Nidwalden",1042386,198,273129
"1998","Glarus",1205250,202,686483
"1998","Zug",2722200,476,600860
"1998","Fribourg / Freiburg",9702050,1953,5655377
"1998","Solothurn",8020931,1479,3936869
"1998","Basel-Stadt",10908687,1673,2554160
"1998","Basel-Landschaft",12580990,2059,2687772
"1998","Schaffhausen",1535075,278,510301
"1998","Appenzell Ausserrhoden",1393574,321,853597
"1998","Appenzell Innerrhoden",633165,97,272985
"1998","St. Gallen",15187800,2764,6120267
"1998","Graubünden / Grigioni / Grischun",11503450,2166,5593291
"1998","Aargau",14102530,2675,4662852
"1998","Thurgau",7881969,1115,2681484
"1998","Ticino",17381871,2610,8288663
"1998","Vaud",22476780,5133,6906869
"1998","Valais / Wallis",9578822,2581,5405307
"1998","Neuchâtel",4916276,1722,3088857
"1998","Genève",28501457,4030,5920931
"1998","Jura",7464778,1518,4538630
"1999","Suisse",274539312,49696,104000000
"1999","Zürich",32432095,4411,6713182
"1999","Bern / Berne",42998882,7368,21825945
"1999","Luzern",6678045,1225,3144280
"1999","Uri",1866041,357,1032776
"1999","Schwyz",5999430,1112,2234918
"1999","Obwalden",1298422,296,671980
"1999","Nidwalden",880180,173,303003
"1999","Glarus",1436300,211,595585
"1999","Zug",3217600,516,512588
"1999","Fribourg / Freiburg",10004413,2017,5467115
"1999","Solothurn",7248500,1436,3306033
"1999","Basel-Stadt",10394327,1757,2019286
"1999","Basel-Landschaft",11913708,2016,2442442
"1999","Schaffhausen",1568305,308,480160
"1999","Appenzell Ausserrhoden",1616620,343,786104
"1999","Appenzell Innerrhoden",660140,107,368099
"1999","St. Gallen",13991450,2657,5952658
"1999","Graubünden / Grigioni / Grischun",10685450,2046,5890032
"1999","Aargau",14606521,2784,4442390
"1999","Thurgau",7537071,1180,2974746
"1999","Ticino",14452037,2204,7332143
"1999","Vaud",22408930,5115,7613328
"1999","Valais / Wallis",10321374,2713,5515436
"1999","Neuchâtel",5194207,1868,2743193
"1999","Genève",28170753,4022,5372123
"1999","Jura",6958511,1454,4260452
"2000","Suisse",277454334,50445,90551995
"2000","Zürich",34300766,4111,5379364
"2000","Bern / Berne",45911148,7504,18590300
"2000","Luzern",7385434,1385,2696958
"2000","Uri",1936166,372,852215
"2000","Schwyz",6256177,1116,2014886
"2000","Obwalden",1300479,297,623243
"2000","Nidwalden",834965,155,212087
"2000","Glarus",1526200,244,588883
"2000","Zug",3155200,501,550726
"2000","Fribourg / Freiburg",10030455,2175,4946010
"2000","Solothurn",6202127,1319,2525226
"2000","Basel-Stadt",9035729,1646,1857496
"2000","Basel-Landschaft",11396610,2028,2049388
"2000","Schaffhausen",1541550,308,421940
"2000","Appenzell Ausserrhoden",1475030,342,792826
"2000","Appenzell Innerrhoden",717650,116,315715
"2000","St. Gallen",13557400,2453,4688251
"2000","Graubünden / Grigioni / Grischun",6437550,2114,4560266
"2000","Aargau",13816684,2664,4065607
"2000","Thurgau",7196339,1126,2372303
"2000","Ticino",16535502,2596,7980878
"2000","Vaud",25855343,5588,6511288
"2000","Valais / Wallis",10218774,2842,4989106
"2000","Neuchâtel",5701792,1967,2628009
"2000","Genève",28170753,4022,4979080
"2000","Jura",6958511,1454,3359946
"2001","Suisse",277273140,50556,86617469
"2001","Zürich",35422348,4349,5127238
"2001","Bern / Berne",44202004,6982,19846592
"2001","Luzern",7811717,1494,3124477
"2001","Uri",1804780,331,856331
"2001","Schwyz",6511943,1264,1819180
"2001","Obwalden",1405164,309,625651
"2001","Nidwalden",893035,168,134891
"2001","Glarus",1643050,244,586082
"2001","Zug",3053200,488,497210
"2001","Fribourg / Freiburg",9775713,2082,4823258
"2001","Solothurn",5339313,1143,2130046
"2001","Basel-Stadt",9488522,1705,1433198
"2001","Basel-Landschaft",11538119,1953,1827797
"2001","Schaffhausen",1433930,275,355768
"2001","Appenzell Ausserrhoden",1521847,337,710676
"2001","Appenzell Innerrhoden",775350,128,345778
"2001","St. Gallen",11774900,2353,4882504
"2001","Graubünden / Grigioni / Grischun",10853600,2794,2575020
"2001","Aargau",13616003,3054,3760530
"2001","Thurgau",8268088,1130,2453157
"2001","Ticino",16416659,2421,6429936
"2001","Vaud",23952350,5608,7090873
"2001","Valais / Wallis",10343063,2753,5072825
"2001","Neuchâtel",4994600,1872,2742972
"2001","Genève",27834890,3992,4462018
"2001","Jura",6598952,1327,2903461
"2002","Suisse",272115568,53210,86284127
"2002","Zürich",30639954,3973,4724681
"2002","Bern / Berne",45854850,7322,18712508
"2002","Luzern",8712179,1635,3324180
"2002","Uri",1902785,334,797940
"2002","Schwyz",6268109,1211,1899769
"2002","Obwalden",1315785,307,671949
"2002","Nidwalden",990888,164,143787
"2002","Glarus",1644700,252,628509
"2002","Zug",3044100,480,483171
"2002","Fribourg / Freiburg",9894005,2118,4702750
"2002","Solothurn",5481924,1109,1849525
"2002","Basel-Stadt",9679769,1694,1506124
"2002","Basel-Landschaft",11320958,1948,1789645
"2002","Schaffhausen",1588300,310,331538
"2002","Appenzell Ausserrhoden",1436930,338,742476
"2002","Appenzell Innerrhoden",689400,129,370642
"2002","St. Gallen",10253900,2116,4215587
"2002","Graubünden / Grigioni / Grischun",11188700,2893,4108500
"2002","Aargau",13429127,3177,3659081
"2002","Thurgau",7954359,1120,2825004
"2002","Ticino",16776117,2611,6185369
"2002","Vaud",25081870,5751,6553224
"2002","Valais / Wallis",10620133,2955,5288818
"2002","Neuchâtel",4997325,1751,2395539
"2002","Genève",24706143,6095,5203435
"2002","Jura",6643258,1417,3170377
"2003","Suisse",285633029,56482,89313455
"2003","Zürich",31953248,4075,4445907
"2003","Bern / Berne",50454294,7460,20763490
"2003","Luzern",10547686,1793,3908865
"2003","Uri",1393664,266,875594
"2003","Schwyz",6504429,1321,1266829
"2003","Obwalden",1452855,303,630791
"2003","Nidwalden",1082075,193,161397
"2003","Glarus",1564600,241,599436
"2003","Zug",3770000,563,477699
"2003","Fribourg / Freiburg",11926509,3788,6229842
"2003","Solothurn",5577539,1160,2042682
"2003","Basel-Stadt",10127517,1622,1530657
"2003","Basel-Landschaft",11314240,2011,1823302
"2003","Schaffhausen",1725050,315,366888
"2003","Appenzell Ausserrhoden",1451500,325,667855
"2003","Appenzell Innerrhoden",594650,119,326077
"2003","St. Gallen",7929800,1734,3770473
"2003","Graubünden / Grigioni / Grischun",11478225,2905,4333446
"2003","Aargau",13031135,3161,3795386
"2003","Thurgau",7634010,1104,2882145
"2003","Ticino",18155535,2777,6194474
"2003","Vaud",25221776,5984,7113870
"2003","Valais / Wallis",12194275,3189,5588623
"2003","Neuchâtel",5308266,1768,2410736
"2003","Genève",26877389,6675,3942654
"2003","Jura",6362762,1630,3164337
