canton,annee,pct_tertiaire
AR,2012,21.4
AR,2013,25.29
AR,2014,26.14
AR,2015,27.95
AR,2016,26.58
AR,2017,28.58
AR,2018,28.67
AR,2019,30.89
AR,2020,36.57
AR,2021,38.4
AR,2022,37.32
AR,2023,37.43
AR,2024,38.69
AI,1970,2.13
AI,1980,3.58
AI,1990,7.88
AI,2000,12.64
AI,2010,15.87
AI,2011,19.24
AI,2012,18.13
AI,2013,20.93
AI,2014,23.7
AI,2015,22.55
AI,2016,24.57
AI,2017,19.59
AI,2018,23.74
AI,2019,26.59
AI,2020,31.45
AI,2021,38.59
AI,2022,34.29
AI,2023,37.38
AI,2024,34.75
SG,1970,5.17
SG,1980,7.76
SG,1990,11.82
SG,2000,15.4
SG,2010,20.57
SG,2011,21.55
SG,2012,22.59
SG,2013,24.57
SG,2014,24.39
SG,2015,24.5
SG,2016,26.33
SG,2017,26.02
SG,2018,26.38
SG,2019,27.87
SG,2020,33.94
SG,2021,34.62
SG,2022,34.54
SG,2023,35.98
SG,2024,36.25
GR,1970,5.87
GR,1980,7.77
GR,1990,11.03
GR,2000,14.68
GR,2010,19.55
GR,2011,20.54
GR,2012,22.25
GR,2013,22.19
GR,2014,23.35
GR,2015,24.41
GR,2016,25.76
GR,2017,25.22
GR,2018,25.32
GR,2019,27.27
GR,2020,33.89
GR,2021,33.37
GR,2022,35.24
GR,2023,35.79
GR,2024,36.42
AG,1970,6.73
AG,1980,10.54
AG,1990,14.28
AG,2000,18.1
AG,2010,23.04
AG,2011,24.76
AG,2012,25.54
AG,2013,26.93
AG,2014,27.7
AG,2015,28.41
AG,2016,29.34
AG,2017,30.0
AG,2018,29.36
AG,2019,30.99
AG,2020,37.69
AG,2021,37.01
AG,2022,37.93
AG,2023,38.36
AG,2024,38.92
TG,1970,4.86
TG,1980,7.51
TG,1990,11.69
TG,2000,15.48
TG,2010,20.52
TG,2011,22.59
TG,2012,23.3
TG,2013,25.13
TG,2014,25.0
TG,2015,25.6
TG,2016,27.58
TG,2017,27.17
TG,2018,26.44
TG,2019,27.77
TG,2020,34.63
TG,2021,35.3
TG,2022,36.91
TG,2023,36.72
TG,2024,37.41
TI,1970,7.21
TI,1980,8.71
TI,1990,11.74
TI,2000,15.1
TI,2010,23.35
TI,2011,24.22
TI,2012,24.19
TI,2013,26.71
TI,2014,27.46
TI,2015,28.58
TI,2016,29.09
TI,2017,30.55
TI,2018,30.28
TI,2019,30.32
TI,2020,31.42
TI,2021,31.89
TI,2022,32.45
TI,2023,32.58
TI,2024,33.98
VD,1970,7.79
VD,1980,10.46
VD,1990,16.46
VD,2000,21.42
VD,2010,29.55
VD,2011,30.67
VD,2012,31.32
VD,2013,32.79
VD,2014,33.86
VD,2015,34.82
VD,2016,35.6
VD,2017,36.37
VD,2018,36.16
VD,2019,37.48
VD,2020,38.11
VD,2021,38.69
VD,2022,39.73
VD,2023,40.36
VD,2024,41.24
VS,1970,4.42
VS,1980,5.72
VS,1990,10.2
VS,2000,13.65
VS,2010,19.11
VS,2011,20.07
VS,2012,21.36
VS,2013,21.47
VS,2014,23.26
VS,2015,23.83
VS,2016,23.92
VS,2017,25.35
VS,2018,25.16
VS,2019,26.21
VS,2020,27.55
VS,2021,28.21
VS,2022,31.1
VS,2023,30.01
VS,2024,32.09
NE,1970,6.6
NE,1980,8.42
NE,1990,13.39
NE,2000,17.68
NE,2010,24.08
NE,2011,24.71
NE,2012,26.94
NE,2013,27.27
NE,2014,27.6
NE,2015,27.53
NE,2016,28.78
NE,2017,30.45
NE,2018,29.12
NE,2019,30.25
NE,2020,30.49
NE,2021,31.34
NE,2022,32.76
NE,2023,33.12
NE,2024,34.86
GE,1970,11.3
GE,1980,17.6
GE,1990,21.52
GE,2000,26.85
GE,2010,34.06
GE,2011,36.08
GE,2012,36.46
GE,2013,38.24
GE,2014,39.34
GE,2015,40.4
GE,2016,40.96
GE,2017,41.8
GE,2018,41.25
GE,2019,43.13
GE,2020,42.11
GE,2021,42.29
GE,2022,43.14
GE,2023,43.45
GE,2024,45.17
JU,1970,3.48
JU,1980,4.4
JU,1990,8.8
JU,2000,11.81
JU,2010,16.7
JU,2011,18.97
